job_name,etl_date,start_time,end_time,status,message,source_date,stage
source_2_raw_coupons,20260105,2026-01-05T09:33:24,2026-01-05T09:33:24,success,20251104,20251104,source_2_raw
source_2_raw_memberships,20260105,2026-01-05T09:33:24,2026-01-05T09:33:24,success,20251104,20251104,source_2_raw
source_2_raw_payment_methods,20260105,2026-01-05T09:20:07Z,2026-01-05T09:20:08Z,success,20251104,20251104,source_2_raw
source_2_raw_products,20260105,2026-01-05T09:20:08Z,2026-01-05T09:20:08Z,success,20251104,20251104,source_2_raw
source_2_raw_product_details,20260105,2026-01-05T09:20:09Z,2026-01-05T09:20:09Z,success,20251104,20251104,source_2_raw
source_2_raw_store_geolocations,20260105,2026-01-05T09:20:10Z,2026-01-05T09:20:10Z,success,20251104,20251104,source_2_raw
source_2_raw_customers,20260105,2026-01-05T09:38:04,2026-01-05T09:38:04,success,20251104,20251104,source_2_raw
source_2_raw_customer_transactions,20260105,2026-01-05T09:20:11Z,2026-01-05T09:20:12Z,success,20251104,20251104,source_2_raw
source_2_raw_transaction_details,20260105,2026-01-05T09:20:13Z,2026-01-05T09:20:13Z,success,20251104,20251104,source_2_raw
raw_2_enriched_coupons,20260105,2026-01-05T09:20:13Z,2026-01-05T09:20:13Z,failed,20251104|No action for coupons r_2_e,20251104,raw_2_enriched
raw_2_enriched_memberships,20260105,2026-01-05T09:20:13Z,2026-01-05T09:20:13Z,failed,20251104|No action for memberships r_2_e,20251104,raw_2_enriched
raw_2_enriched_payment_methods,20260105,2026-01-05T09:20:13Z,2026-01-05T09:20:13Z,failed,20251104|No action for payment_methods r_2_e,20251104,raw_2_enriched
raw_2_enriched_products,20260105,2026-01-05T09:20:13Z,2026-01-05T09:20:14Z,failed,20251104|No action for products r_2_e,20251104,raw_2_enriched
raw_2_enriched_product_details,20260105,2026-01-05T09:20:14Z,2026-01-05T09:20:14Z,failed,20251104|No action for product_details r_2_e,20251104,raw_2_enriched
raw_2_enriched_store_geolocations,20260105,2026-01-05T09:20:14Z,2026-01-05T09:20:14Z,failed,20251104|No action for store_geolocations r_2_e,20251104,raw_2_enriched
raw_2_enriched_customers,20260105,2026-01-05T09:20:14Z,2026-01-05T09:20:14Z,failed,20251104|No action for customers r_2_e,20251104,raw_2_enriched
raw_2_enriched_customer_transactions,20260105,2026-01-05T09:20:14Z,2026-01-05T09:20:15Z,failed,20251104|No action for customer_transactions r_2_e,20251104,raw_2_enriched
raw_2_enriched_transaction_details,20260105,2026-01-05T09:20:15Z,2026-01-05T09:20:15Z,failed,20251104|No action for transaction_details r_2_e,20251104,raw_2_enriched
enriched_2_curated_coupons,20260105,2026-01-05T09:20:15Z,2026-01-05T09:20:15Z,failed,20251104|No action for coupons e_2_c,20251104,enriched_2_curated
enriched_2_curated_memberships,20260105,2026-01-05T09:20:15Z,2026-01-05T09:20:15Z,failed,20251104|No action for memberships e_2_c,20251104,enriched_2_curated
enriched_2_curated_payment_methods,20260105,2026-01-05T09:20:15Z,2026-01-05T09:20:16Z,failed,20251104|No action for payment_methods e_2_c,20251104,enriched_2_curated
enriched_2_curated_products,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for products e_2_c,20251104,enriched_2_curated
enriched_2_curated_product_details,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for product_details e_2_c,20251104,enriched_2_curated
enriched_2_curated_store_geolocations,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for store_geolocations e_2_c,20251104,enriched_2_curated
enriched_2_curated_customers,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for customers e_2_c,20251104,enriched_2_curated
enriched_2_curated_customer_transactions,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for customer_transactions e_2_c,20251104,enriched_2_curated
enriched_2_curated_transaction_details,20260105,2026-01-05T09:20:16Z,2026-01-05T09:20:16Z,failed,20251104|No action for transaction_details e_2_c,20251104,enriched_2_curated
