id,coupon_name,effective_date,discount_type,discount_value,product_usage_limit,usage_limit,effective_member_id,expiry_date
1,Giảm ngay 5k cho hạng thành viên bạc. Áp dụng cho sản phẩm đầu tiên,1/1/2025,FIXED,5000,1,2,2,
2,Giảm ngay 10k cho hạng thành viên vàng. Áp dụng cho sản phẩm đầu tiên trong đơn hàng,1/1/2025,FIXED,10000,1,,3,
3,Giảm ngay 5% giá trị đơn hàng cho hạng thành viên bạch kim,1/1/2025,PERCENT,5,,,4,
4,Giảm ngay 7% giá trị đơn hàng cho hạng thành viên kim cương,1/1/2025,PERCENT,7,,,5,
5,Giảm ngay 10% giá trị đơn hàng cho hạng thành viên VIP,1/1/2025,PERCENT,10,,,6,
6,Giảm ngay 5% giá trị đơn hàng cho hạng thành viên thường. Lưu ý chỉ áp dụng cho đơn hàng đầu tiên,1/1/2025,PERCENT,5,,1,7,
7,Giảm 15% cho Tết Nguyên Đán 2025 - Thành viên VIP,1/29/2025,PERCENT,15,,1,6,2/5/2025
8,Giảm 20k cho đơn hàng đầu tiên dịp Tết - Thành viên Thường,1/29/2025,FIXED,20000,1,1,1,2/5/2025
9,Giảm 8% nhân ngày Quốc tế Phụ nữ - Thành viên Bạch kim,3/8/2025,PERCENT,8,,,4,3/15/2025
10,Giảm 10k cho 2 sản phẩm đầu tiên - Thành viên Vàng,3/8/2025,FIXED,10000,2,,3,3/15/2025
11,Black Friday 2025 - Giảm 20% cho tất cả thành viên Kim cương,11/28/2025,PERCENT,20,,,5,11/30/2025
12,Giáng sinh 2025 - Giảm 25k cho đơn hàng đầu tiên - Thành viên Bạc,12/24/2025,FIXED,25000,1,1,2,12/31/2025
13,Giảm 12% cho sự kiện Back-to-School - Thành viên Thường,9/1/2025,PERCENT,12,,2,1,9/15/2025
14,Giảm 30k nhân dịp Quốc khánh 2/9 - Thành viên VIP,9/2/2025,FIXED,30000,2,,6,9/10/2025
15,Giảm 10% chào năm mới 2025 - Thành viên Thường,1/1/2025,PERCENT,10,,1,1,1/7/2025
16,Giảm 15k cho đơn hàng đầu tiên - Thành viên Bạc,1/1/2025,FIXED,15000,1,1,2,1/7/2025
17,Giảm 12% nhân ngày Valentine - Thành viên Vàng,2/14/2025,PERCENT,12,,,3,2/20/2025
18,Giảm 20k cho 2 sản phẩm dịp Valentine - Thành viên Bạch kim,2/14/2025,FIXED,20000,2,,4,2/20/2025
19,Giảm 18% nhân ngày Giỗ Tổ Hùng Vương - Thành viên Kim cương,4/18/2025,PERCENT,18,,,5,4/25/2025
20,Giảm 25k cho đơn hàng đầu tiên - Thành viên VIP,4/18/2025,FIXED,25000,1,1,6,4/25/2025
21,Giảm 10% dịp lễ 30/4 - Thành viên Thường,4/30/2025,PERCENT,10,,2,1,5/7/2025
22,Giảm 30k cho 3 sản phẩm dịp 30/4 - Thành viên Bạc,4/30/2025,FIXED,30000,3,,2,5/7/2025
23,Giảm 15% cho ngày Quốc tế Lao động - Thành viên Vàng,5/1/2025,PERCENT,15,,,3,5/8/2025
24,Giảm 20k cho đơn hàng đầu tiên - Thành viên Bạch kim,5/1/2025,FIXED,20000,1,1,4,5/8/2025
25,Giảm 20% nhân ngày Rằm tháng Bảy - Thành viên Kim cương,8/14/2025,PERCENT,20,,,5,8/21/2025
26,Giảm 35k cho 2 sản phẩm - Thành viên VIP,8/14/2025,FIXED,35000,2,,6,8/21/2025
27,Giảm 8% cho ngày Phụ nữ Việt Nam - Thành viên Thường,10/1/2025,PERCENT,8,,2,1,10/7/2025
28,Giảm 15k cho đơn hàng đầu tiên - Thành viên Bạc,10/1/2025,FIXED,15000,1,1,2,10/7/2025
