id,product_id,size,price
1,1,S,29000
2,1,M,39000
3,1,L,45000
4,2,S,29000
5,2,M,34000
6,2,L,39000
7,3,S,29000
8,3,M,34000
9,3,L,39000
10,4,S,29000
11,4,M,39000
12,4,L,45000
13,5,S,45000
14,5,M,49000
15,5,L,55000
16,6,S,45000
17,6,M,49000
18,6,L,55000
19,7,S,45000
20,7,M,49000
21,7,L,55000
22,8,S,45000
23,8,M,49000
24,9,S,65000
25,9,M,75000
26,9,L,79000
27,10,S,65000
28,10,M,75000
29,10,L,79000
30,11,S,69000
31,11,M,79000
32,11,L,85000
33,12,S,55000
34,12,M,65000
35,12,L,69000
36,13,S,55000
37,13,M,65000
38,13,L,69000
39,14,S,55000
40,14,M,65000
41,14,L,69000
42,15,S,55000
43,15,M,65000
44,15,L,69000
45,16,S,45000
46,16,M,55000
47,16,L,69000
48,17,S,45000
49,17,M,55000
50,17,L,69000
51,18,S,45000
52,18,M,55000
53,18,L,69000
54,19,One Size,45000
55,20,One Size,45000
56,21,One Size,45000
57,22,One Size,55000
58,23,One Size,55000
59,24,One Size,55000
60,25,One Size,35000
61,26,One Size,100000
62,27,One Size,110000
63,28,One Size,120000
64,29,One Size,150000
65,30,One Size,200000
