id,branch_name,full_address,city
1,Han Hai Nguyen,278 Hàn Hải Nguyên P.2 Q.11,TP.HCM
2,Sun Village,"31-33 Nguyễn Văn Đậu P.6
Q.Bình Thạnh",TP.HCM
3,Etown,364 Cộng Hòa P.13 Q.Tân Bình,TP.HCM
4,"Hoa Hong Phu Nhuan
HCM",46 Hoa Hồng P.7 Q.Phú Nhuận,TP.HCM
5,2B Le Duan HCM,2B Lê Duẩn P.Bến Nghé Q.1,TP.HCM
6,"Nguyen Thai Hoc
HCM","132A Nguyễn Thái Học P.Phạm
Ngũ Lão Q.1",TP.HCM
7,Ho Con Rua HCM,"2 Bis Công Trường Quốc Tế P.Võ
Thị Sáu Q.3",TP.HCM
8,Sala 2,"125 Nguyễn Cơ Thạch P.An Lợi
Đông Q.2",TP.HCM
9,Garden Plaza D7,"SB-01, Garden Plaza, 1 Tôn Dật
Tiên P.Tân Phong Q.7",TP.HCM
10,"CT.Plaza Ground Floor
Out Side",60A Trường Sơn P.2 Q.Tân Bình,TP.HCM
11,Saigon South HCM,"152 Nguyễn Lương Bằng P.Tân
Phú Q.7",TP.HCM
12,Manor HCM,"91 Nguyễn Hữu Cảnh P.22 Q.Bình
Thạnh",TP.HCM
13,DIAMOND HCM,34 Lê Duẩn P.Bến Nghé Q.1,TP.HCM
14,Saigon Trade,"37 Tôn Đức Thắng P.Bến Nghé
Q.1",TP.HCM
15,RMIT - HCM,"702 Nguyễn Văn Linh P.Tân
Phong Q.7",TP.HCM
16,Liberty HCM,"187 Phạm Ngũ Lão P.Phạm Ngũ
Lão Q.1",TP.HCM
17,Vincom B3 HCM,"TTTM Vincom Tầng B3, số 70-72
Lê Thánh Tôn P.Bến Nghé Q.1",TP.HCM
18,"Vincom Quang Trung
HCM","TTTM Vincom Go Vap - 190
Quang Trung P.10 Q.Gò Vấp",TP.HCM
19,"Tran Quang Khai
HCM","135A Trần Quang Khải P.Tân
Định Q.1",TP.HCM
20,Vincom Go Vap,"TTTM Vincom Plaza, 12 Phan
Văn Trị P.7 Q.Gò Vấp",TP.HCM
21,SSG - HCM,"561A Điện Biên Phủ P.25 Q.Bình
Thạnh",TP.HCM
22,CMT8 - HCM,"90 Cách Mạng Tháng Tám P.Võ
Thị Sáu Q.3",TP.HCM
23,Vincom Thao Dien,"159 Xa Lộ Hà Nội P.Thảo Điền
TP.Thủ Đức",TP.HCM
24,CityLand D7,"TTTM Big C, 10 Nguyễn Thị Thập
P.Tân Phú Q.7",TP.HCM
25,NDC - HCM,"27B Nguyễn Đình Chiểu P.Đa Kao
Q.1",TP.HCM
26,FIDECO - HCM,"Tòa nhà Fideco, 81-85 Hàm Nghi
P.Nguyễn Thái Bình Q.1",TP.HCM
27,"Vincom Cong Hoa
HCM",15-17 Cộng Hòa P.4 Q.Tân Bình,TP.HCM
28,"Tran Hung Dao -
HCM",683 Trần Hưng Đạo P.1 Q.5,TP.HCM
29,Hai Ba Trung HCM,"265 Hai Bà Trưng P.Võ Thị Sáu
Q.3",TP.HCM
30,Cantavil D2 - HCM,"Cantavil Xa Lộ Hà Nội P.An Phú
TP.Thủ Đức",TP.HCM
31,Central Point - HCM,"106 Nguyễn Văn Trôĩ P.8 Q.Phú
Nhuận",TP.HCM
32,LaKai - HCM,"98-126 Nguyễn Tri Phương P.7
Q.5",TP.HCM
33,Phan Xich Long HCM,"193 Phan Xích Long P.2 Q.Phú
Nhuận",TP.HCM
34,"Vincom Thu Duc -
HCM","TTTM Vincom Plaza, 216 Võ Văn
Ngân P.Bình Thọ TP.Thủ Đức",TP.HCM
35,Bao Minh - HCM,"Tòa nhà Bảo Minh, số 217 Nam
Kỳ Khởi Nghĩa P.Võ Thị Sáu Q.3",TP.HCM
36,Saigon Pearl - HCM,"Sai Gon Pearl, 92 Nguyễn Hữu
Cảnh P.22 Q.Bình Thạnh",TP.HCM
37,Tan Son Nhat Airport,"Domestic Airport Trường Sơn P.2
Q.Tân Bình",TP.HCM
38,"Tung Thien Vuong -
HCM","312-314 Tùng Thện Vương P.13
Q.8",TP.HCM
39,SG Centre - HCM,"TTTM Sai Gon Center, 65 Lê Lợi
P.Bến Nghé Q.1",TP.HCM
40,BigC An Lac,"TTTM Big C, 1231 QL1A P.Bình
Trị Đông B Q.Bình Tân",TP.HCM
41,SG MALL - HCM,"TTTM Sai Gon Mall, 2A Phan
Văn Trị P.10 Q.Gò Vấp",TP.HCM
42,Joy Citypoint - HCM,"Linh Trung 1 QL1A P.Linh Trung
TP.Thủ Đức",TP.HCM
