order_id,product_id,product_details_id,quantity,subtotal,discount_amount,subtotal_after_discount
1092,12,34,1,65000,5200.0,59800.0
1092,1,1,1,29000,2320.0,26680.0
1093,4,12,1,45000,10000.0,35000.0
1093,6,17,1,49000,10000.0,39000.0
1094,18,53,1,69000,12420.0,56580.0
1094,12,33,1,55000,9900.0,45100.0
1094,29,64,1,150000,27000.0,123000.0
1094,3,9,1,39000,7020.0,31980.0
1095,17,49,1,55000,9900.0,45100.0
1095,23,58,1,55000,9900.0,45100.0
1095,14,40,1,65000,11700.0,53300.0
1095,1,1,2,58000,10440.0,47560.0
1095,13,38,1,69000,12420.0,56580.0
1096,4,10,1,29000,5220.0,23780.0
1096,2,4,1,29000,5220.0,23780.0
1097,21,56,1,45000,5400.0,39600.0
1098,18,53,1,69000,8280.0,60720.0
1098,18,51,1,45000,5400.0,39600.0
1099,19,54,1,45000,5400.0,39600.0
1099,15,43,1,65000,7800.0,57200.0
1100,10,28,1,75000,9000.0,66000.0
1101,14,40,1,65000,5200.0,59800.0
1102,19,54,1,45000,30000.0,15000.0
1102,14,41,1,69000,30000.0,39000.0
1103,14,40,1,65000,10000.0,55000.0
1103,15,44,1,69000,10000.0,59000.0
1104,10,29,1,79000,9480.0,69520.0
1105,19,54,1,45000,0.0,45000.0
1105,12,33,1,55000,0.0,55000.0
1105,13,38,1,69000,0.0,69000.0
1105,7,21,1,55000,0.0,55000.0
1105,20,55,1,45000,0.0,45000.0
1105,29,64,1,150000,0.0,150000.0
1105,24,59,1,55000,0.0,55000.0
1106,2,6,1,39000,7020.0,31980.0
1106,3,8,1,34000,6120.0,27880.0
1107,14,40,1,65000,0.0,65000.0
1107,15,42,1,55000,0.0,55000.0
1107,11,31,1,79000,0.0,79000.0
1107,4,10,1,29000,0.0,29000.0
1107,1,1,2,58000,0.0,58000.0
1108,17,48,1,45000,3600.0,41400.0
1108,30,65,1,200000,16000.0,184000.0
1109,3,9,1,39000,4680.0,34320.0
1109,15,43,1,65000,7800.0,57200.0
1109,16,47,1,69000,8280.0,60720.0
1110,4,10,1,29000,30000.0,-1000.0
1110,10,27,1,65000,30000.0,35000.0
1110,13,38,1,69000,30000.0,39000.0
1110,13,36,1,55000,30000.0,25000.0
1111,13,37,1,65000,7800.0,57200.0
1111,8,23,1,49000,5880.0,43120.0
1112,13,37,1,65000,10000.0,55000.0
1113,13,37,1,65000,0.0,65000.0
1114,6,18,1,55000,0.0,55000.0
1114,1,1,1,29000,0.0,29000.0
1114,3,7,1,29000,0.0,29000.0
1115,25,60,1,35000,0.0,35000.0
1115,18,52,1,55000,0.0,55000.0
1116,20,55,1,45000,30000.0,15000.0
1116,9,26,1,79000,30000.0,49000.0
1116,3,9,1,39000,30000.0,9000.0
1117,19,54,1,45000,10000.0,35000.0
1117,27,62,1,110000,10000.0,100000.0
1117,1,3,1,45000,10000.0,35000.0
1117,6,18,1,55000,10000.0,45000.0
1117,23,58,1,55000,10000.0,45000.0
1117,7,19,1,45000,10000.0,35000.0
1117,2,4,2,58000,10000.0,48000.0
1117,13,36,1,55000,10000.0,45000.0
1117,10,27,1,65000,10000.0,55000.0
1117,3,8,1,34000,10000.0,24000.0
1117,12,35,1,69000,10000.0,59000.0
1117,28,63,1,120000,10000.0,110000.0
1117,5,15,1,55000,10000.0,45000.0
1118,13,36,1,55000,0.0,55000.0
1118,4,11,1,39000,0.0,39000.0
1118,22,57,1,55000,0.0,55000.0
1118,6,16,1,45000,0.0,45000.0
1118,5,14,1,49000,0.0,49000.0
1118,5,15,1,55000,0.0,55000.0
1119,16,46,1,55000,6600.0,48400.0
1120,12,34,1,65000,11700.0,53300.0
1121,18,51,1,45000,5400.0,39600.0
1121,7,20,1,49000,5880.0,43120.0
1122,18,53,1,69000,12420.0,56580.0
1123,5,14,1,49000,10000.0,39000.0
1124,18,52,1,55000,6600.0,48400.0
1124,14,39,1,55000,6600.0,48400.0
1124,7,19,1,45000,5400.0,39600.0
1124,3,8,1,34000,4080.0,29920.0
1124,28,63,1,120000,14400.0,105600.0
1124,25,60,1,35000,4200.0,30800.0
1124,17,48,1,45000,5400.0,39600.0
1124,5,15,2,110000,13200.0,96800.0
1124,13,37,1,65000,7800.0,57200.0
1124,12,34,1,65000,7800.0,57200.0
1124,22,57,1,55000,6600.0,48400.0
1124,24,59,1,55000,6600.0,48400.0
1124,13,36,1,55000,6600.0,48400.0
1125,29,64,1,150000,18000.0,132000.0
1125,13,37,1,65000,7800.0,57200.0
1125,30,65,1,200000,24000.0,176000.0
1125,4,11,1,39000,4680.0,34320.0
1125,25,60,1,35000,4200.0,30800.0
1125,18,53,1,69000,8280.0,60720.0
1126,1,1,1,29000,3480.0,25520.0
1126,12,33,1,55000,6600.0,48400.0
1127,13,37,1,65000,7800.0,57200.0
1127,26,61,1,100000,12000.0,88000.0
1127,12,35,1,69000,8280.0,60720.0
1127,16,46,1,55000,6600.0,48400.0
1128,6,18,1,55000,9900.0,45100.0
1129,2,6,1,39000,0.0,39000.0
1129,16,45,1,45000,0.0,45000.0
1130,1,2,1,39000,30000.0,9000.0
1131,4,10,1,29000,30000.0,-1000.0
1132,22,57,1,55000,30000.0,25000.0
1132,13,37,1,65000,30000.0,35000.0
1132,5,13,1,45000,30000.0,15000.0
1133,6,17,2,98000,11760.0,86240.0
1134,15,44,1,69000,12420.0,56580.0
1134,2,4,1,29000,5220.0,23780.0
1135,6,16,1,45000,0.0,45000.0
1136,20,55,1,45000,3600.0,41400.0
1136,1,1,1,29000,2320.0,26680.0
1136,11,30,1,69000,5520.0,63480.0
1136,8,22,1,45000,3600.0,41400.0
1136,7,20,1,49000,3920.0,45080.0
1136,13,37,1,65000,5200.0,59800.0
1136,2,5,1,34000,2720.0,31280.0
1137,8,23,1,49000,30000.0,19000.0
1137,6,18,1,55000,30000.0,25000.0
1137,7,20,1,49000,30000.0,19000.0
1137,5,13,2,90000,30000.0,60000.0
1138,19,54,1,45000,10000.0,35000.0
1139,12,33,1,55000,10000.0,45000.0
1139,4,12,1,45000,10000.0,35000.0
1139,9,24,1,65000,10000.0,55000.0
1140,4,10,1,29000,0.0,29000.0
1140,8,23,1,49000,0.0,49000.0
1141,18,52,1,55000,30000.0,25000.0
1141,26,61,1,100000,30000.0,70000.0
1142,17,50,1,69000,12420.0,56580.0
1142,8,22,1,45000,8100.0,36900.0
1143,20,55,1,45000,30000.0,15000.0
1144,7,19,1,45000,10000.0,35000.0
1145,7,20,1,49000,30000.0,19000.0
1146,18,51,1,45000,5400.0,39600.0
1146,4,11,1,39000,4680.0,34320.0
1146,12,33,1,55000,6600.0,48400.0
1147,10,29,1,79000,14220.0,64780.0
1148,3,8,1,34000,30000.0,4000.0
1148,12,35,1,69000,30000.0,39000.0
1149,9,26,1,79000,0.0,79000.0
1150,12,34,1,65000,30000.0,35000.0
1151,23,58,1,55000,9900.0,45100.0
1152,21,56,1,45000,8100.0,36900.0
1153,26,61,1,100000,12000.0,88000.0
1153,3,7,1,29000,3480.0,25520.0
1153,15,42,1,55000,6600.0,48400.0
1153,16,46,1,55000,6600.0,48400.0
1153,9,25,1,75000,9000.0,66000.0
1153,7,21,1,55000,6600.0,48400.0
1153,25,60,1,35000,4200.0,30800.0
1153,3,9,1,39000,4680.0,34320.0
1153,17,48,1,45000,5400.0,39600.0
1153,11,31,1,79000,9480.0,69520.0
1153,11,30,1,69000,8280.0,60720.0
1153,30,65,1,200000,24000.0,176000.0
1154,26,61,1,100000,10000.0,90000.0
1154,16,46,1,55000,10000.0,45000.0
1154,16,45,1,45000,10000.0,35000.0
1154,3,9,1,39000,10000.0,29000.0
1154,9,25,1,75000,10000.0,65000.0
1154,5,13,1,45000,10000.0,35000.0
1155,14,41,1,69000,8280.0,60720.0
1156,16,47,1,69000,30000.0,39000.0
1156,15,42,1,55000,30000.0,25000.0
1157,9,26,1,79000,0.0,79000.0
1158,22,57,1,55000,4400.0,50600.0
1158,9,24,1,65000,5200.0,59800.0
1159,21,56,1,45000,3600.0,41400.0
1159,20,55,1,45000,3600.0,41400.0
1160,28,63,1,120000,9600.0,110400.0
1161,14,40,1,65000,10000.0,55000.0
1162,30,65,1,200000,10000.0,190000.0
1162,11,31,1,79000,10000.0,69000.0
1162,9,25,1,75000,10000.0,65000.0
1163,11,30,1,69000,30000.0,39000.0
1163,1,3,1,45000,30000.0,15000.0
1164,5,15,1,55000,10000.0,45000.0
1165,18,51,1,45000,30000.0,15000.0
1165,17,49,1,55000,30000.0,25000.0
1166,21,56,1,45000,5400.0,39600.0
1166,4,11,1,39000,4680.0,34320.0
1167,14,39,1,55000,0.0,55000.0
1168,23,58,1,55000,6600.0,48400.0
1168,5,15,1,55000,6600.0,48400.0
1168,18,51,1,45000,5400.0,39600.0
1168,3,8,1,34000,4080.0,29920.0
1168,1,2,1,39000,4680.0,34320.0
1168,19,54,1,45000,5400.0,39600.0
1168,7,21,1,55000,6600.0,48400.0
1168,16,45,1,45000,5400.0,39600.0
1168,13,38,1,69000,8280.0,60720.0
1169,10,29,1,79000,30000.0,49000.0
1169,5,14,1,49000,30000.0,19000.0
1169,25,60,1,35000,30000.0,5000.0
1169,1,2,1,39000,30000.0,9000.0
1169,18,53,2,138000,30000.0,108000.0
1170,2,4,1,29000,2320.0,26680.0
1171,5,14,1,49000,0.0,49000.0
1172,8,23,1,49000,0.0,49000.0
1172,10,28,1,75000,0.0,75000.0
1173,1,3,1,45000,3600.0,41400.0
1173,14,41,1,69000,5520.0,63480.0
1173,18,51,1,45000,3600.0,41400.0
1173,5,14,1,49000,3920.0,45080.0
1174,11,31,1,79000,6320.0,72680.0
1174,8,22,1,45000,3600.0,41400.0
1174,4,11,1,39000,3120.0,35880.0
1174,29,64,1,150000,12000.0,138000.0
1175,27,62,1,110000,13200.0,96800.0
1175,13,36,1,55000,6600.0,48400.0
1176,9,26,1,79000,14220.0,64780.0
1176,17,49,1,55000,9900.0,45100.0
1177,4,10,1,29000,30000.0,-1000.0
1178,3,8,1,34000,6120.0,27880.0
1178,17,50,1,69000,12420.0,56580.0
1179,11,32,1,85000,30000.0,55000.0
1179,14,39,1,55000,30000.0,25000.0
1179,12,35,1,69000,30000.0,39000.0
1179,6,16,1,45000,30000.0,15000.0
1179,10,27,1,65000,30000.0,35000.0
1179,2,5,3,102000,30000.0,72000.0
1179,5,15,1,55000,30000.0,25000.0
1179,13,36,1,55000,30000.0,25000.0
1179,13,38,1,69000,30000.0,39000.0
1179,9,26,1,79000,30000.0,49000.0
1179,18,52,1,55000,30000.0,25000.0
1179,13,37,1,65000,30000.0,35000.0
1179,8,23,1,49000,30000.0,19000.0
1179,27,62,1,110000,30000.0,80000.0
1179,18,53,1,69000,30000.0,39000.0
1179,25,60,1,35000,30000.0,5000.0
1179,15,42,1,55000,30000.0,25000.0
1180,10,27,1,65000,5200.0,59800.0
1180,3,7,1,29000,2320.0,26680.0
1181,12,35,1,69000,30000.0,39000.0
1181,11,30,1,69000,30000.0,39000.0
1182,17,48,1,45000,3600.0,41400.0
1183,25,60,1,35000,10000.0,25000.0
1183,16,47,1,69000,10000.0,59000.0
1183,18,51,1,45000,10000.0,35000.0
1183,14,39,1,55000,10000.0,45000.0
1183,14,40,1,65000,10000.0,55000.0
1184,15,44,1,69000,5520.0,63480.0
1184,19,54,1,45000,3600.0,41400.0
1185,12,34,1,65000,5200.0,59800.0
1185,5,13,1,45000,3600.0,41400.0
1186,12,33,1,55000,4400.0,50600.0
1187,18,53,1,69000,5520.0,63480.0
1187,11,32,1,85000,6800.0,78200.0
1188,14,40,1,65000,0.0,65000.0
1188,18,53,1,69000,0.0,69000.0
1189,5,15,1,55000,0.0,55000.0
1189,14,39,1,55000,0.0,55000.0
1189,10,29,2,158000,0.0,158000.0
1189,18,51,1,45000,0.0,45000.0
1190,4,12,1,45000,10000.0,35000.0
1190,7,21,1,55000,10000.0,45000.0
1190,25,60,1,35000,10000.0,25000.0
1191,6,18,1,55000,10000.0,45000.0
1191,21,56,1,45000,10000.0,35000.0
1192,12,34,1,65000,30000.0,35000.0
1192,23,58,1,55000,30000.0,25000.0
1192,18,51,1,45000,30000.0,15000.0
1192,14,41,1,69000,30000.0,39000.0
1193,2,6,1,39000,7020.0,31980.0
1194,14,39,1,55000,30000.0,25000.0
1195,14,40,1,65000,7800.0,57200.0
1195,8,22,1,45000,5400.0,39600.0
1195,26,61,1,100000,12000.0,88000.0
1195,9,25,1,75000,9000.0,66000.0
1195,2,4,1,29000,3480.0,25520.0
1195,17,50,1,69000,8280.0,60720.0
1195,6,18,1,55000,6600.0,48400.0
1195,17,49,1,55000,6600.0,48400.0
1195,2,6,1,39000,4680.0,34320.0
1195,13,38,1,69000,8280.0,60720.0
1195,22,57,1,55000,6600.0,48400.0
1195,28,63,1,120000,14400.0,105600.0
1196,4,11,1,39000,0.0,39000.0
1197,29,64,1,150000,10000.0,140000.0
1197,3,9,1,39000,10000.0,29000.0
1198,13,36,1,55000,4400.0,50600.0
1198,17,49,1,55000,4400.0,50600.0
1199,18,52,1,55000,0.0,55000.0
1200,8,23,1,49000,10000.0,39000.0
1201,3,9,1,39000,7020.0,31980.0
1202,28,63,1,120000,10000.0,110000.0
1202,11,32,1,85000,10000.0,75000.0
1203,6,16,1,45000,8100.0,36900.0
1203,6,18,1,55000,9900.0,45100.0
1203,5,15,1,55000,9900.0,45100.0
1203,13,36,1,55000,9900.0,45100.0
1203,27,62,1,110000,19800.0,90200.0
1203,17,50,1,69000,12420.0,56580.0
1204,6,16,1,45000,0.0,45000.0
1204,7,21,1,55000,0.0,55000.0
1205,14,41,1,69000,12420.0,56580.0
1205,6,17,1,49000,8820.0,40180.0
1205,16,46,1,55000,9900.0,45100.0
1205,2,6,1,39000,7020.0,31980.0
1205,14,40,1,65000,11700.0,53300.0
1205,15,42,1,55000,9900.0,45100.0
1205,7,20,1,49000,8820.0,40180.0
1205,9,25,1,75000,13500.0,61500.0
1205,18,53,1,69000,12420.0,56580.0
1205,10,28,1,75000,13500.0,61500.0
1205,15,43,1,65000,11700.0,53300.0
1205,5,15,1,55000,9900.0,45100.0
1205,13,38,1,69000,12420.0,56580.0
1206,19,54,1,45000,10000.0,35000.0
1206,25,60,1,35000,10000.0,25000.0
1207,16,47,1,69000,0.0,69000.0
1208,5,13,1,45000,3600.0,41400.0
1208,15,43,1,65000,5200.0,59800.0
1208,3,7,2,58000,4640.0,53360.0
1208,10,29,1,79000,6320.0,72680.0
1208,16,47,1,69000,5520.0,63480.0
1208,23,58,1,55000,4400.0,50600.0
1208,9,24,1,65000,5200.0,59800.0
1208,13,38,1,69000,5520.0,63480.0
1208,11,32,1,85000,6800.0,78200.0
1208,11,31,1,79000,6320.0,72680.0
1209,15,42,1,55000,10000.0,45000.0
1209,25,60,1,35000,10000.0,25000.0
1209,29,64,1,150000,10000.0,140000.0
1210,16,47,1,69000,0.0,69000.0
1210,8,23,1,49000,0.0,49000.0
1210,5,14,1,49000,0.0,49000.0
1210,21,56,1,45000,0.0,45000.0
1210,12,35,1,69000,0.0,69000.0
1210,16,46,1,55000,0.0,55000.0
1211,29,64,2,300000,36000.0,264000.0
