id,order_id,product_id,product_details_id,quantity,subtotal,discount_amount,subtotal_after_discount
1,1,9,24,2,130000,23400.0,106600.0
2,1,4,12,1,45000,8100.0,36900.0
3,1,12,35,1,69000,12420.0,56580.0
4,2,30,65,1,200000,36000.0,164000.0
5,3,17,50,1,69000,5520.0,63480.0
6,3,2,4,1,29000,2320.0,26680.0
7,4,20,55,1,45000,0.0,45000.0
8,5,4,11,1,39000,0.0,39000.0
9,5,29,64,1,150000,0.0,150000.0
10,5,13,37,1,65000,0.0,65000.0
11,5,30,65,1,200000,0.0,200000.0
12,5,14,41,1,69000,0.0,69000.0
13,6,11,30,1,69000,12420.0,56580.0
14,6,14,39,1,55000,9900.0,45100.0
15,6,18,51,1,45000,8100.0,36900.0
16,6,15,42,1,55000,9900.0,45100.0
17,7,18,51,1,45000,8100.0,36900.0
18,7,14,41,1,69000,12420.0,56580.0
19,8,4,11,1,39000,4680.0,34320.0
20,8,14,39,1,55000,6600.0,48400.0
21,8,4,10,1,29000,3480.0,25520.0
22,8,10,29,1,79000,9480.0,69520.0
23,9,23,58,1,55000,30000.0,25000.0
24,9,24,59,1,55000,30000.0,25000.0
25,9,6,17,1,49000,30000.0,19000.0
26,9,4,11,1,39000,30000.0,9000.0
27,9,4,10,1,29000,30000.0,-1000.0
28,9,9,24,1,65000,30000.0,35000.0
29,10,10,29,1,79000,0.0,79000.0
1,1,18,51,1,45000,8100.0,36900.0
2,1,1,2,1,39000,7020.0,31980.0
3,1,1,3,1,45000,8100.0,36900.0
4,1,26,61,1,100000,18000.0,82000.0
5,1,24,59,1,55000,9900.0,45100.0
6,2,1,2,1,39000,7020.0,31980.0
7,3,15,42,1,55000,4400.0,50600.0
8,4,2,4,1,29000,0.0,29000.0
9,4,9,26,1,79000,0.0,79000.0
10,4,11,32,1,85000,0.0,85000.0
11,5,13,36,1,55000,0.0,55000.0
12,5,9,26,1,79000,0.0,79000.0
13,6,14,39,1,55000,9900.0,45100.0
14,6,17,48,1,45000,8100.0,36900.0
15,7,16,47,1,69000,12420.0,56580.0
16,8,1,3,1,45000,5400.0,39600.0
17,8,16,46,1,55000,6600.0,48400.0
18,8,5,13,1,45000,5400.0,39600.0
19,8,20,55,1,45000,5400.0,39600.0
20,9,16,46,1,55000,30000.0,25000.0
21,10,1,3,1,45000,0.0,45000.0
22,10,12,33,1,55000,0.0,55000.0
